date,real_price_index,nominal_price_index,real_yoy_pct,nominal_yoy_pct
1991-01-01,100.7297,51.8031,,
1991-04-01,110.4898,57.9825,,
1991-07-01,111.2072,58.9065,,
1991-10-01,116.2290,62.3139,,
1992-01-01,119.0734,63.9309,18.2108,23.4114
1992-04-01,118.8753,64.8549,7.5894,11.8526
1992-07-01,118.1450,65.4324,6.2386,11.0784
1992-10-01,122.7913,67.9158,5.6460,8.9898
1993-01-01,124.6228,69.0708,4.6605,8.0397
1993-04-01,129.2606,72.7669,8.7363,12.1995
1993-07-01,127.7047,72.9979,8.0915,11.5622
1993-10-01,127.5380,73.2867,3.8657,7.9082
1994-01-01,119.5670,69.4751,-4.0569,0.5853
1994-04-01,121.6122,71.9006,-5.9171,-1.1905
1994-07-01,119.4043,71.7274,-6.4997,-1.7405
1994-10-01,122.9769,74.3839,-3.5763,1.4972
1995-01-01,121.6051,74.1529,1.7046,6.7332
1995-04-01,120.9566,75.3080,-0.5391,4.7390
1995-07-01,122.4247,77.7913,2.5296,8.4541
1995-10-01,121.3197,78.5998,-1.3476,5.6677
1996-01-01,118.9136,77.8490,-2.2134,4.9844
1996-04-01,121.4587,80.3901,0.4151,6.7485
1996-07-01,114.6968,76.6940,-6.3124,-1.4105
1996-10-01,114.1365,77.2715,-5.9209,-1.6899
1997-01-01,116.7252,79.8126,-1.8403,2.5223
1997-04-01,122.4342,84.5482,0.8031,5.1724
1997-07-01,119.1955,84.6059,3.9223,10.3163
1997-10-01,114.8816,83.6242,0.6528,8.2212
1998-01-01,115.8309,86.2807,-0.7662,8.1042
1998-04-01,101.9462,77.5603,-16.7339,-8.2650
1998-07-01,106.1408,81.4296,-10.9524,-3.7543
1998-10-01,105.3558,80.3901,-8.2918,-3.8674
1999-01-01,104.3964,79.5816,-9.8717,-7.7644
1999-04-01,83.2223,63.0646,-18.3664,-18.6895
1999-07-01,101.2900,76.9827,-4.5701,-5.4610
1999-10-01,97.1816,74.1529,-7.7586,-7.7586
2000-01-01,96.8028,74.5572,-7.2738,-6.3135
2000-04-01,100.0271,77.0405,20.1926,22.1612
2000-07-01,96.4476,74.9037,-4.7807,-2.7007
2000-10-01,98.6081,76.6940,1.4679,3.4268
2001-01-01,99.5398,77.7913,2.8274,4.3377
2001-04-01,95.2134,75.1347,-4.8123,-2.4738
2001-07-01,93.4570,73.7487,-3.1007,-1.5420
2001-10-01,96.4576,75.7122,-2.1809,-1.2801
2002-01-01,96.2443,75.6545,-3.3107,-2.7468
2002-04-01,96.4321,76.3475,1.2799,1.6141
2002-07-01,96.2862,76.2320,3.0272,3.3673
2002-10-01,95.7114,76.1742,-0.7736,0.6102
2003-01-01,96.3721,77.2138,0.1327,2.0611
2003-04-01,96.0188,77.3293,-0.4285,1.2859
2003-07-01,97.3427,78.5420,1.0973,3.0303
2003-10-01,99.2363,80.3323,3.6827,5.4587
2004-01-01,99.0763,81.0254,2.8061,4.9364
2004-04-01,99.1584,82.0649,3.2697,6.1240
2004-07-01,98.9962,82.5269,1.6986,5.0735
2004-10-01,101.6038,84.7792,2.3857,5.5356
2005-01-01,104.1274,87.4358,5.0981,7.9116
2005-04-01,103.1178,88.4175,3.9930,7.7410
2005-07-01,102.2338,89.9768,3.2704,9.0273
2005-10-01,102.8036,90.9009,1.1809,7.2207
2006-01-01,103.3837,91.7671,-0.7142,4.9538
2006-04-01,102.0381,92.8067,-1.0470,4.9641
2006-07-01,101.0190,92.2291,-1.1883,2.5032
2006-10-01,101.9894,93.2687,-0.7920,2.6048
2007-01-01,101.1902,92.1136,-2.1217,0.3776
2007-04-01,100.3960,92.9799,-1.6094,0.1867
2007-07-01,102.0568,94.5970,1.0273,2.5673
2007-10-01,100.4803,94.4237,-1.4797,1.2384
2008-01-01,91.1224,87.1094,-9.9493,-5.4327
2008-04-01,90.9242,90.5273,-9.4344,-2.6377
2008-07-01,95.3490,94.8242,-6.5726,0.2402
2008-10-01,101.5101,97.4609,1.0249,3.2166
2009-01-01,100.1807,95.5078,9.9408,9.6413
2009-04-01,99.3666,96.1914,9.2851,6.2567
2009-07-01,100.5075,97.7539,5.4101,3.0896
2009-10-01,102.1225,99.9023,0.6033,2.5050
2010-01-01,99.1453,98.0469,-1.0335,2.6585
2010-04-01,98.8895,98.8281,-0.4801,2.7411
2010-07-01,100.9973,101.4648,0.4874,3.7962
2010-10-01,100.9464,101.6602,-1.1516,1.7595
2011-01-01,100.7552,102.6525,1.6238,4.6974
2011-04-01,100.8653,104.9360,1.9980,6.1803
2011-07-01,99.3122,103.8981,-1.6685,2.3981
2011-10-01,100.8094,105.5588,-0.1357,3.8349
2012-01-01,101.3053,106.7005,0.5459,3.9434
2012-04-01,99.5548,106.1815,-1.2993,1.1869
2012-07-01,99.1888,106.8043,-0.1242,2.7972
2012-10-01,102.5606,110.8523,1.7371,5.0147
2013-01-01,103.7089,112.6168,2.3727,5.5447
2013-04-01,104.7320,114.2775,5.2003,7.6246
2013-07-01,106.8426,116.9761,7.7164,9.5238
2013-10-01,109.2643,120.0900,6.5364,8.3333
2014-01-01,110.2955,122.1658,6.3510,8.4793
2014-04-01,113.0618,126.4214,7.9534,10.6267
2014-07-01,114.0466,127.3556,6.7426,8.8731
2014-10-01,119.0853,132.3377,8.9882,10.1988
2015-01-01,122.2406,134.7249,10.8301,10.2804
2015-04-01,122.1398,135.0363,8.0293,6.8145
2015-07-01,121.4245,134.1022,6.4692,5.2975
2015-10-01,127.1941,140.1223,6.8093,5.8824
2016-01-01,128.9200,141.3678,5.4641,4.9307
2016-04-01,128.7875,142.8209,5.4427,5.7648
2016-07-01,126.8303,140.4336,4.4520,4.7214
2016-10-01,130.7242,145.0006,2.7754,3.4815
2017-01-01,129.1879,143.4437,0.2078,1.4684
2017-04-01,129.6981,143.9626,0.7070,0.7994
2017-07-01,131.7749,146.5575,3.8987,4.3607
2017-10-01,135.8129,151.9548,3.8927,4.7960
2018-01-01,136.4653,152.4738,5.6332,6.2952
2018-04-01,135.7611,152.6814,4.6747,6.0562
2018-07-01,137.2127,154.8610,4.1265,5.6657
2018-10-01,137.8962,155.5876,1.5340,2.3907
2019-01-01,136.7499,153.9269,0.2085,0.9530
2019-04-01,136.4993,155.1724,0.5438,1.6315
2019-07-01,134.2889,152.4738,-2.1309,-1.5416
2019-10-01,140.1918,158.8052,1.6647,2.0680
2020-01-01,141.8771,160.3621,3.7494,4.1807
2020-04-01,146.2428,161.8153,7.1381,4.2809
2020-07-01,141.6167,159.6356,5.4568,4.6971
2020-10-01,142.3170,160.5697,1.5159,1.1111
2021-01-01,144.0220,161.9190,1.5118,0.9709
2021-04-01,144.0713,163.1646,-1.4849,0.8339
2021-07-01,146.5700,166.3822,3.4977,4.2263
2021-10-01,143.1707,165.4480,0.5999,3.0381
2022-01-01,141.3756,166.4860,-1.8375,2.8205
2022-04-01,140.1493,168.9771,-2.7222,3.5623
2022-07-01,138.4935,168.6657,-5.5104,1.3724
2022-10-01,141.0859,172.5061,-1.4562,4.2660
2023-01-01,142.5475,174.3744,0.8289,4.7382
2023-04-01,142.5690,173.8554,1.7265,2.8870
2023-07-01,142.1841,174.0630,2.6649,3.2000
2023-10-01,145.4207,176.8654,3.0725,2.5271
2024-01-01,144.5306,175.4123,1.3912,0.5952
2024-04-01,143.2380,176.0351,0.4692,1.2537
2024-07-01,145.6368,179.3565,2.4283,3.0411
2024-10-01,147.6933,181.4324,1.5627,2.5822
2025-01-01,147.9787,181.5362,2.3857,3.4911
2025-04-01,147.8057,181.0172,3.1889,2.8302
2025-07-01,147.3073,180.0830,1.1471,0.4051
2025-10-01,149.3848,182.5741,1.1453,0.6293
2026-01-01,150.8307,183.8196,1.9273,1.2579
