label,lat,lon,province,km_from_cbd,price_low,price_high,price_point
"Rat Burana, Bangkok",13.6820852,100.5055091,Bangkok,7.84,239878,553320,364320
"Nong Chok, Bangkok",13.8563097,100.8630753,Bangkok,37.5,8927,20593,13559
"Nonthaburi, Nonthaburi",13.8610918,100.3456772,Nonthaburi,11.58,85584,197415,129983
"Yan Nawa, Bangkok",13.6797229,100.5435276,Bangkok,7.5,249932,576512,379590
"Bang Khen, Bangkok",13.8755881,100.5969277,Bangkok,15.84,90975,209850,138171
"Khan Na Yao, Bangkok",13.7954037,100.6912516,Bangkok,17.76,72110,166334,109519
"Saphan Sung, Bangkok",13.7684641,100.6854219,Bangkok,16.46,84387,194653,128165
"Khlong Toei, Bangkok",13.7187306,100.5601721,Bangkok,4.14,375193,865448,569833
"Phaya Thai, Bangkok",13.7797457,100.5424393,Bangkok,3.78,392151,904564,595589
"Thung Khru, Bangkok",13.630436,100.5040026,Bangkok,13.34,123203,284188,187117
"Bang Kapi, Bangkok",13.7640002,100.6448078,Bangkok,12.05,143994,332148,218695
"Pom Prap Sattru Phai, Bangkok",13.7439967,100.5147904,Bangkok,2.17,476578,1099309,723814
"Huai Khwang, Bangkok",13.7785797,100.5745983,Bangkok,5.59,315021,726651,478446
"Taling Chan, Bangkok",13.7777,100.4570707,Bangkok,9.07,206588,476531,313760
"Bang Khae, Bangkok",13.7107428,100.4208233,Bangkok,12.93,129399,298480,196527
