province,n_parcels,min,p10,p25,median,p75,p90,p99,max,mean
Ayutthaya,465874,170.0,350.0,620.0,1500.0,5000.0,11000.0,27000.0,60000.0,4086.252559704985
Bangkok,2281482,500.0,8000.0,18000.0,30000.0,47000.0,85000.0,300000.0,1000000.0,44711.36328272588
Chachoengsao,407353,100.0,260.0,460.0,750.0,3000.0,10000.0,20000.0,50000.0,2907.9904652721348
Chon Buri,984881,200.0,700.0,2500.0,7000.0,12000.0,20000.0,56000.0,220000.0,9168.62033078108
Nakhon Pathom,546087,30.0,390.0,650.0,1600.0,6500.0,15000.0,35000.0,80000.0,5185.980933441008
Nonthaburi,701099,100.0,4000.0,12000.0,20000.0,30000.0,39500.0,80000.0,170000.0,22125.26630333234
Pathum Thani,784397,350.0,2000.0,4500.0,14000.0,21000.0,28000.0,45000.0,100000.0,14550.691563073291
Samut Prakan,625959,300.0,8200.0,16000.0,22000.0,28500.0,38500.0,97000.0,160000.0,24223.330585549535
Samut Sakhon,301125,60.0,880.0,2500.0,10000.0,21000.0,27000.0,51000.0,70000.0,12955.763403902034
Saraburi,380137,70.0,260.0,500.0,1000.0,3000.0,7500.0,25000.0,75000.0,2884.261161107706
